Family,RAT Controller IP,Port,rDNS,WHOIS,ASN
BlackShades trojan,93.172.154.42,4444,93-172-154-42.bb.netvision.net.il,NetVision,AS1680
BlackShades trojan,46.116.109.7,4444,,NetVision,AS1680
DarkComet trojan,86.199.32.114,82,AToulouse-658-1-109-114.w86-199.abo.wanadoo.fr,Orange,AS3215
DarkComet trojan,185.106.40.122,1604,,,
DarkComet trojan,213.248.185.117,83,,Vodafone Net Iletisim Hizmetleri Anonim Sirketi,AS8386
DarkComet trojan,176.36.142.63,1604,host-176-36-142-63.la.net.ua,Lanet Network Ltd.,AS39608
DarkComet trojan,62.217.147.92,1604,pop-38-92.azeronline.com,Azeronline Information Services,AS15723
DarkComet trojan,187.190.232.248,1604,fixed-190-232-248.iusacell.net,Iusacell,AS22884
DarkComet trojan,78.125.211.128,1604,128.211.125.78.rev.sfr.net,SFR,AS8228
DarkComet trojan,92.248.241.169,1604,169.241.248.92.akado-ural.ru,ZAO AKADO-Ekaterinburg,AS30868
DarkComet trojan,188.132.237.76,1604,datacenter-76-237-132-188.sunucu.com.tr,Hosting Internet Hizmetleri Sanayi ve Ticaret Anon,AS42910
DarkComet trojan,77.50.12.183,1604,kiniko.starlink.ru,Media S.A.,AS34602
DarkComet trojan,179.43.141.150,1604,hosted-by.securefastserver.com,Private Layer Inc,AS51852
DarkComet trojan,109.193.189.99,80,HSI-KBW-109-193-189-099.hsi7.kabel-badenwuerttemberg.de,Kabel BW,AS29562
DarkComet trojan,123.26.181.225,1604,localhost,VDC,AS45899
DarkComet trojan,81.169.168.88,1604,h2305899.stratoserver.net,Strato AG,AS6724
DarkComet trojan,175.138.158.28,1604,,Telekom Malaysia,AS4788
DarkComet trojan,94.249.236.103,1604,,GHOSTnet GmbH,AS12586
DarkComet trojan,86.122.53.112,1604,,RCS & RDS,AS8708
DarkComet trojan,52.28.27.244,1604,ec2-52-28-27-244.eu-central-1.compute.amazonaws.com,E.I. du Pont de Nemours and Co.,
DarkComet trojan,188.213.25.49,81,vps-4906.fhnet.fr,Techcrea Solutions Sarl,
DarkComet trojan,75.165.52.41,1604,75-165-52-41.tukw.qwest.net,CenturyLink,AS209
DarkComet trojan,220.240.23.100,1604,100.23.240.220.static.dsl.rns02-kent-syd.comindico.com.au,TPG Internet,
DarkComet trojan,198.84.196.78,8086,198-84-196-78.cpe.teksavvy.com,TekSavvy Solutions,AS5645
DarkComet trojan,176.194.229.192,1604,ip-176-194-229-192.bb.netbynet.ru,Net By Net Holding LLC,AS12714
DarkComet trojan,91.114.180.158,1604,91-114-180-158.adsl.highway.telekom.at,Telekom Austria,AS8447
DarkComet trojan,78.167.141.10,1604,78.167.141.10.dynamic.ttnet.com.tr,Turk Telekom,AS9121
DarkComet trojan,5.254.106.227,83,5.254.106.227.reserved.voxility.com,Globalcity Telecom S.R.L.,AS39743
DarkComet trojan,217.10.41.43,1604,av17232.comex.ru,AKADO-Stolitsa JSC,AS15582
DarkComet trojan,192.241.240.81,8080,,Digital Ocean,AS62567
DarkComet trojan,54.149.35.67,1604,ec2-54-149-35-67.us-west-2.compute.amazonaws.com,Amazon,
DarkComet trojan,193.124.66.45,80,,OOO NPO Relcom,AS2118
DarkComet trojan,93.183.214.51,111,,Private Joint Stock Company datagroup,AS21219
DarkComet trojan,109.193.189.99,8080,HSI-KBW-109-193-189-099.hsi7.kabel-badenwuerttemberg.de,Kabel BW,AS29562
