RAT Family,Controller IP Address,Port,ISP,ASN
BlackShades trojan,91.236.116.144,4444,Sweden Dedicated,AS42708
DarkComet trojan,95.12.85.22,1604,Turk Telekom,AS9121
DarkComet trojan,138.75.207.188,1604,MobileOne,
DarkComet trojan,88.240.78.181,1604,Turk Telekom,AS9121
DarkComet trojan,92.44.107.15,81,Tellcom Iletisim Hizmetleri A.s.,AS34984
DarkComet trojan,87.104.144.118,1604,TRE-FOR Bredbaand A/S,AS35376
DarkComet trojan,46.36.38.62,3000,GTT a.s.,AS51731
DarkComet trojan,85.214.24.12,1604,Strato Rechenzentrum,AS6724
DarkComet trojan,176.49.178.84,1604,OJSC Rostelecom,AS41440
DarkComet trojan,24.156.113.231,1604,Cablevision Of Kingman,AS19108
DarkComet trojan,31.180.96.155,1604,OJSC Rostelecom Macroregional Branch South,AS42362
DarkComet trojan,188.132.237.76,1604,Hosting Internet Hizmetleri Sanayi ve Ticaret Anon,AS42910
DarkComet trojan,188.237.164.252,1604,JSC Moldtelecom S.A.,AS8926
DarkComet trojan,37.11.94.119,8080,Jazz Telecom S.A.,AS12715
DarkComet trojan,182.64.163.230,1604,Airtel Broadband,AS24560
DarkComet trojan,41.242.36.72,1604,HTT Telecom SA,
DarkComet trojan,92.62.153.139,80,Radiosvyaz,AS47684
DarkComet trojan,178.65.62.17,1604,OJSC North-West Telecom,AS8997
DarkComet trojan,185.81.158.129,1604,,
DarkComet trojan,49.205.167.167,1604,Beam Telecom,AS55577
DarkComet trojan,176.49.157.216,1604,OJSC Rostelecom,AS41440
DarkComet trojan,5.152.211.69,1604,Dedicated Server Hosting,AS35662
DarkComet trojan,86.199.161.21,82,Orange,AS3215
DarkComet trojan,51.254.88.0,1604,UK Government Department for Work and Pensions,
DarkComet trojan,188.190.223.92,1604,Individual Entrepreneur Prymak Ievgen Oleksandrovy,AS39728
DarkComet trojan,84.236.130.78,82,ServiHosting Networks S.L.,AS29119
DarkComet trojan,31.34.152.60,1604,Bouygues Telecom,AS5410
DarkComet trojan,37.53.82.151,1604,JSC Ukrtelecom,AS6877
DarkComet trojan,83.203.114.173,1604,Orange,
DarkComet trojan,41.242.38.227,5555,HTT Telecom SA,
DarkComet trojan,104.232.37.138,1604,ColoCrossing,
DarkComet trojan,88.233.196.241,1604,Turk Telekom,AS9121
DarkComet trojan,77.204.187.149,1604,SFR,AS15557
DarkComet trojan,41.242.38.227,1604,HTT Telecom SA,
DarkComet trojan,192.241.240.81,80,Digital Ocean,AS62567
DarkComet trojan,95.183.24.132,1604,Radiosvyaz,AS44348
DarkComet trojan,105.103.114.161,1604,Telecom Algeria,
DarkComet trojan,81.181.155.116,1604,Confort L&CC SRL,
DarkComet trojan,89.155.51.128,2222,ZON Tv Cabo,AS12542
DarkComet trojan,212.198.180.77,1604,NC Numericable S.A.,AS21502
DarkComet trojan,91.225.48.169,1604,CHP Poddubny Sergey Valentynovich,AS56932
DarkComet trojan,128.69.129.10,1604,Beeline,AS8402
DarkComet trojan,109.65.139.223,1604,Bezeq International,AS8551
DarkComet trojan,179.190.225.164,9999,Servicos De Telecomunicacoes Ltda,AS28220
DarkComet trojan,81.110.203.148,4444,Virgin Media,AS5089
DarkComet trojan,78.177.143.175,5555,Turk Telekom,AS9121
DarkComet trojan,91.76.247.159,1604,Comstar-Direct CJSC,AS8359
DarkComet trojan,2.237.245.227,1604,Fastweb,AS12874
DarkComet trojan,37.53.9.129,1604,JSC Ukrtelecom,AS6849
DarkComet trojan,70.53.205.74,2222,Bell Canada,AS577
DarkComet trojan,91.236.116.134,1604,Sweden Dedicated,AS42708
DarkComet trojan,91.123.45.50,1604,Hardanger Breiband AS,AS2116
DarkComet trojan,59.101.142.52,1604,NBNSP PTY LTD,AS2764
DarkComet trojan,77.43.196.11,1604,CJSC COMSTAR-Regions,AS15640
DarkComet trojan,176.96.26.142,1604,Praktika Ltd.,AS48515
DarkComet trojan,176.111.33.57,1604,PE Snitcar Olexandr Antonovich,AS57960
DarkComet trojan,122.37.144.96,1604,Powercomm,AS17858
DarkComet trojan,27.6.32.115,1604,Hathway IP Over Cable Internet,AS17488
DarkComet trojan,103.238.226.87,1604,Pang International Limited-AS number,
