Indicator Type,File Name,File Hash,IP,URL,Mutex,Description
IP Address,,,212[.]129.13.110,,,AutoIt script C2
IP Address,,,212[.]129.7.146,,,IP address used to connect to the cloud decoy with
IP Address,,,45[.]43.192.172,,,IP address used in the powershell script
IP Address,,,178[.]162.210.242,,,Suspected IOC
IP Address,,,178[.]162.210.243,,,Suspected IOC
IP Address,,,178[.]162.210.244,,,Suspected IOC
IP Address,,,178[.]162.210.245,,,Suspected IOC
IP Address,,,178[.]162.210.246,,,Suspected IOC
IP Address,,,178[.]162.210.247,,,Suspected IOC
IP Address,,,178[.]162.210.248,,,Suspected IOC
IP Address,,,178[.]162.236.40,,,Suspected IOC
IP Address,,,37[.]48.77.214,,,Suspected IOC
IP Address,,,37[.]48.77.215,,,Suspected IOC
IP Address,,,37[.]58.60.195,,,Suspected IOC
IP Address,,,43[.]249.37.173,,,Suspected IOC
IP Address,,,46[.]165.225.66,,,Suspected IOC
IP Address,,,46[.]165.229.7,,,Suspected IOC
IP Address,,,46[.]165.229.8,,,Suspected IOC
IP Address,,,46[.]165.229.9,,,Suspected IOC
IP Address,,,46[.]165.248.236,,,Suspected IOC
IP Address,,,46[.]165.248.237,,,Suspected IOC
IP Address,,,46[.]165.248.238,,,Suspected IOC
IP Address,,,46[.]165.248.239,,,Suspected IOC
IP Address,,,46[.]165.248.240,,,Suspected IOC
IP Address,,,46[.]165.248.241,,,Suspected IOC
IP Address,,,46[.]165.248.243,,,Suspected IOC
IP Address,,,46[.]166.163.243,,,Suspected IOC
IP Address,,,46[.]166.163.244,,,Suspected IOC
IP Address,,,46[.]166.163.246,,,Suspected IOC
IP Address,,,91[.]229.79.181,,,Suspected IOC
IP Address,,,91[.]229.79.182,,,Suspected IOC
IP Address,,,91[.]229.79.183,,,Suspected IOC
IP Address,,,91[.]229.79.184,,,Suspected IOC
IP Address,,,91[.]229.79.185,,,Suspected IOC
IP Address,,,91[.]229.79.186,,,Suspected IOC
IP Address,,,91[.]229.79.187,,,Suspected IOC
IP Address,,,91[.]229.79.188,,,Suspected IOC
IP Address,,,91[.]229.79.189,,,Suspected IOC
IP Address,,,91[.]229.79.190,,,Suspected IOC
IP Address,,,93[.]115.95.132,,,Suspected IOC
IP Address,,,94[.]242.219.203,,,Suspected IOC
IP Address,,,94[.]242.223.19,,,Suspected IOC
IP Address,,,94[.]242.223.20,,,Suspected IOC
IP Address,,,94[.]242.223.24,,,Suspected IOC
IP Address,,,94[.]242.223.28,,,Suspected IOC
IP Address,,,94[.]242.231.244,,,Suspected IOC
IP Address,,,95[.]141.34.242,,,Suspected IOC
IP Address,,,95[.]141.34.245,,,Suspected IOC
IP Address,,,95[.]141.34.246,,,Suspected IOC
IP Address,,,95[.]211.205.142,,,Suspected IOC
IP Address,,,95[.]211.205.161,,,Suspected IOC
IP Address,,,95[.]211.205.163,,,Suspected IOC
IP Address,,,95[.]211.205.164,,,Suspected IOC
IP Address,,,95[.]211.205.165,,,Suspected IOC
IP Address,,,95[.]211.205.166,,,Suspected IOC
IP Address,,,95[.]211.3.135,,,Suspected IOC
File Hash,upsrv.exe,076aa7f5f6a5bdd9acdee55c6e3de54e6e8d5fd6fe2a03c165a23861e315f3f5,,,,
