Type,Value
md5,f8ce7e356e09de6a48dca9e51421b6f6
md5,bdafd1fb08d5ed0073b3c0605e1e4581
md5,cd46960e865dc06596a1b68be427ac7a
md5,7528c387f853d96420cf7e20f2ad1d32
md5,20b8dc0f4f5758afdaf442bad3552bf5
md5,456a45b59a7588294cf25a5cab4a9821
md5,f76443385fef159e6b73ad6bf7f086d6
md5,adb1e854b0a713f6ffd3eace6431c81d
md5,197c018922237828683783654d3c632a
md5,3a5fcba80c1fd685c4b5085d9d474118
md5,262bc259682cb48ce66a80dcc9a5d587
md5,bd7d2efdb2a0f352c4b74f2b82e3c7bc
md5,0235605e4795208724409e1626c6117c
md5,0bf3cf83ac7d83d6943afd02c28d286a
md5,d50ab63f4034c6f5eb356e3326320e66
md5,1792cdd0c5397ff5df445d73276d1a50
md5,0302e72fafd6fa8143943fdf2efc592d
md5,f77ee804de304f7c3ea6b87824684b33
md5,6a65d762fb548d2dc56cfde4842a4d3c
md5,1c23b3f11f933d98febfd5a92eb5c715
md5,72e046753f0496140b4aa389aee2e300
md5,5713c3c01067c91771ac70e193ef5419
IP,192.99.102.35
IP,83.142.230.138
IP,136.243.214.247
IP,178.33.94.47
IP,138.201.7.140
IP,149.202.230.140
IP,136.243.203.141
IP,85.117.204.18
IP,158.69.57.61
IP,151.80.211.156
IP,31.3.225.55
IP,136.243.203.174
Filename,Project_Domain_No337.chm
Filename,gcaa_report_series15561.chm
Filename,IsraelAirline.xls
Filename,TurkishAirlines_Offers.xls
Filename,OxfordSymposiumRegTool.exe
Filename,content_35615
Filename,SpecialOffers.xls
Filename,SpecialOffers.xlsa
Filename,content_35615.xls
Filename,MalwaresReporting2016-10-01.xls
Filename,SalaryEmployee2016.xls
Filename,OxfordCVCreator.exe
EmailAddress,masha.sharon@inbox.ru
EmailAddress,nism2020@yandex.com
EmailAddress,zak.s.whittaker@gmail.com
EmailAddress,sara.patrik@chmail.ir
EmailAddress,jason.hasaki@hotmail.com
EmailAddress,zack.patrik@mail.com
EmailAddress,ranjan1984rajiv@gmail.com
EmailAddress,javamaker@inbox.ru
EmailAddress,megandoherty@teleworm.us
EmailAddress,salim.ahmed.alqahtani@mail.ru
Domain,ns2.windows-dns-resolver.org
Domain,sys-update.com
Domain,ns1.windows-dns-resolver.org
Domain,accountsupportteam.com
Domain,outlookteam.live
Domain,Oxford-Symposia.com
Domain,TecSupport.in
Domain,SupportVpn.net
Domain,windows-dns-resolver.org
Domain,upgradesystems.info
Domain,main-google-resolver.com
Domain,taldor.org
Domain,Technical-Google.com
Domain,Admin-Supporter.com
Domain,check-system.org
Domain,microsoft-kernels-pdate.net
Domain,update-kernal.net
Domain,check-updater.org
Domain,ns11.windows-dns-resolver.org
Domain,net-support.info
Domain,www.windows-dns-resolver.org
Domain,kernel-update.com
Domain,updateorg.com
Domain,acount-google.ml
Domain,malamvpn.com
Domain,ns2.sys-update.com
domain,egoogle.org
domain,googlednsupdate.tk
domain,gaccountservices.com
domain,dnsrecordsolver.tk
domain,shalaghlagh.tk
domain,winodwsupdates.me
domain,googleaccountsservices.com
domain,googleupdate.download
domain,DnsUpdateServers.net
domain,vodafoneco.com
domain,shellexperiencehost.in
domain,liuedu-lb.in
domain,it-service.in
domain,hell-tec.in
domain,dockerjsbin.com
domain,dns-bind9.com
domain,applicationframehost.in
domain,updater.li
domain,oxford.in
domain,oxford-employee.com
domain,oxford-careers.com
Domain,kernel.ws
Domain,ns2.microsoftupdate.mom
Domain,microsoftupdate.mom
Domain,www.microsoftupdate.mom
Domain,ns1.microsoftupdate.mom
Domain,www.googleaccountsservices.com
Domain,138iklspool-arp.googleaccountsservices.com
Domain,ns2.applicationframehost.in
Domain,ns2.dnsrecordsolver.tk
Domain,ns1.dnsrecordsolver.tk
Domain,app.microsoftupdate.mom
Domain,f83zx-138iklspool-arp.googleaccountsservices.com
Domain,87pqxz159.dockerjsbin.com
Domain,ns2.shalaghlagh.tk
Domain,ns1.shalaghlagh.tk
Domain,ns1.applicationframehost.in
Domain,9660d0a.winodwsupdates.me
Domain,ns1.winodwsupdates.me
Domain,zzs00000tdy30.egoogle.org
Domain,ns2.egoogle.org
Domain,ns1.egoogle.org
Domain,nsn1.winodwsupdates.me
Domain,www.winodwsupdates.me
Domain,ns2.winodwsupdates.me
