Type,Value
URL,http://js.jguery.net/main.js
URL,http://pht.is.nlb-deploy.edge-dyn.e11.f20.ads-youtube.online/winini.exe
URL,http://38.130.75.20/check.html
URL,http://update.microsoft-office.solutions/license.doc
URL,http://update.microsoft-office.solutions/error.html
URL,http://main.windowskernel14.com/spl/update5x.zip
URL,http://img.twiter-statics.info/i/658A6D6AE42A658A6D6AE42A/0de9c5c6599fdf5201599ff9b30e0000/6E24E58CFC94/icon.png
URL,http://files0.terendmicro.com/
URL,http://ssl.pmo.gov.il-dana-naauthurl1-welcome.cgi.primeminister-goverment-techcenter.tech/%D7%A1%D7%A7%D7%A8%20%D7%A9%D7%A0%D7%AA%D7%99.docx
URL,http://ea-in-f155.1e100.microsoft-security.host/
URL,https://ea-in-f155.1e100.microsoft-security.host/mTQJ
URL,http://iba.stage.7338879.i.gtld-servers.services
URL,http://doa.stage.7338879.i.gtld-servers.services
URL,http://fda.stage.7338879.i.gtld-servers.services
URL,http://rqa.stage.7338879.i.gtld-servers.services
URL,http://qqa.stage.7338879.i.gtld-servers.services
URL,http://api.02ac36110.49318.a.gtld-servers.zone
URL,s1w-amazonaws.office-msupdate.solutions
URL,a104-93-82-25.mandalasanati.info/iBpa
URL,http://fetchnews-agency.news-bbc.press/pictures.html
URL,http://fetchnews-agency.news-bbc.press/omnews.doc
URL,http://fetchnews-agency.news-bbc.press/en/20170/pictures.doc
SSLCertificate,fa3d5d670dc1d153b999c3aec7b1d815cc33c4dc
SSLCertificate,b11aa089879cd7d4503285fa8623ec237a317aee
SSLCertificate,07317545c8d6fc9beedd3dd695ba79dd3818b941
SSLCertificate,3c0ecb46d65dd57c33df5f6547f8fffb3e15722d
SSLCertificate,1c43ed17acc07680924f2ec476d281c8c5fd6b4a
SSLCertificate,8968f439ef26f3fcded4387a67ea5f56ce24a003
IPv4Address,206.221.181.253
IPv4Address,66.55.152.164
IPv4Address,68.232.180.122
IPv4Address,173.244.173.11
IPv4Address,173.244.173.12
IPv4Address,173.244.173.13
IPv4Address,209.190.20.149
IPv4Address,209.190.20.59
IPv4Address,209.190.20.62
IPv4Address,209.51.199.116
IPv4Address,38.130.75.20
IPv4Address,185.92.73.194
IPv4Address,144.168.45.126
IPv4Address,198.55.107.164
IPv4Address,104.200.128.126
IPv4Address,104.200.128.161
IPv4Address,104.200.128.173
IPv4Address,104.200.128.183
IPv4Address,104.200.128.184
IPv4Address,104.200.128.185
IPv4Address,104.200.128.187
IPv4Address,104.200.128.195
IPv4Address,104.200.128.196
IPv4Address,104.200.128.198
IPv4Address,104.200.128.205
IPv4Address,104.200.128.206
IPv4Address,104.200.128.208
IPv4Address,104.200.128.209
IPv4Address,104.200.128.48
IPv4Address,104.200.128.58
IPv4Address,104.200.128.64
IPv4Address,104.200.128.71
IPv4Address,107.181.160.138
IPv4Address,107.181.160.178
IPv4Address,107.181.160.194
IPv4Address,107.181.160.195
IPv4Address,107.181.161.141
IPv4Address,107.181.174.21
IPv4Address,107.181.174.228
IPv4Address,107.181.174.232
IPv4Address,107.181.174.241
IPv4Address,188.120.224.198
IPv4Address,188.120.228.172
IPv4Address,188.120.242.93
IPv4Address,188.120.243.11
IPv4Address,188.120.247.151
IPv4Address,62.109.2.52
IPv4Address,188.120.232.157
IPv4Address,185.118.65.230
IPv4Address,185.118.66.114
IPv4Address,141.105.67.58
IPv4Address,141.105.68.25
IPv4Address,141.105.68.26
IPv4Address,141.105.68.29
IPv4Address,141.105.69.69
IPv4Address,141.105.69.70
IPv4Address,141.105.69.77
IPv4Address,31.192.105.16
IPv4Address,31.192.105.17
IPv4Address,31.192.105.28
IPv4Address,146.0.73.109
IPv4Address,146.0.73.110
IPv4Address,146.0.73.111
IPv4Address,146.0.73.112
IPv4Address,146.0.73.114
IPv4Address,217.12.201.240
IPv4Address,217.12.218.242
IPv4Address,5.34.180.252
IPv4Address,5.34.181.13
IPv4Address,86.105.18.5
IPv4Address,93.190.138.137
IPv4Address,212.199.61.51
IPv4Address,80.179.42.37
IPv4Address,80.179.42.44
IPv4Address,176.31.18.29
IPv4Address,188.165.69.39
IPv4Address,51.254.76.54
IPv4Address,158.69.150.163
IPv4Address,192.99.242.212
IPv4Address,198.50.214.62
Hash,a60a32f21ac1a2ec33135a650aa8dc71
Hash,94ba33696cd6ffd6335948a752ec9c19
Hash,bcae706c00e07936fc41ac47d671fc40
Hash,1ca03f92f71d5ecb5dbf71b14d48495c
Hash,506415ef517b4b1f7679b3664ad399e1
Hash,1ca03f92f71d5ecb5dbf71b14d48495c
Hash,bd38cab32b3b8b64e5d5d3df36f7c55a
Hash,ac29659dc10b2811372c83675ff57d23
Hash,41466bbb49dd35f9aa3002e546da65eb
Hash,8f6f7416cfdf8d500d6c3dcb33c4f4c9e1cd33998c957fea77fbd50471faec88
Hash,02f2c896287bc6a71275e8ebe311630557800081862a56a3c22c143f2f3142bd
Hash,2df6fe9812796605d4696773c91ad84c4c315df7df9cf78bee5864822b1074c9
Hash,55f513d0d8e1fd41b1417a0eb2afff3a039a9529571196dd7882d1251ab1f9bc
Hash,da529e0b81625828d52cd70efba50794
Hash,1f9910cafe0e5f39887b2d5ab4df0d10
Hash,0feb0b50b99f0b303a5081ffb3c4446d
Hash,577577d6df1833629bfd0d612e3dbb05
Hash,165f8db9c6e2ca79260b159b4618a496e1ed6730d800798d51d38f07b3653952
Hash,1f867be812087722010f12028beeaf376043e5d7
Hash,b571c8e0e3768a12794eaf0ce24e6697
Hash,e319f3fb40957a5ff13695306dd9de25
Hash,acf24620e544f79e55fd8ae6022e040257b60b33cf474c37f2877c39fbf2308a
Hash,8c8496390c3ad048f2a0a4031edfcdac819ee840d32951b9a1a9337a2dcbea25
Hash,c5a02e984ca3d5ac13cf946d2ba68364
Hash,efca6664ad6d29d2df5aaecf99024892
Hash,bff115d5fb4fd8a395d158fb18175d1d183c8869d54624c706ee48a1180b2361
Hash,afa563221aac89f96c383f9f9f4ef81d82c69419f124a80b7f4a8c437d83ce77
Hash,4a3d93c0a74aaabeb801593741587a02
Hash,64c9acc611ef47486ea756aca8e1b3b7
Hash,fb775e900872e01f65e606b722719594
Hash,cf8502b8b67d11fbb0c75ebcf741db15
Hash,4999967c94a2fb1fa8122f1eea7a0e02
