MALWARE FAMILY,MD5,SHA1,SHA256
CLOSEWATCH,1c871dba90faeef9cb637046be04f291,ea71757fcd45425353d4c432f8fcef4451cd9b22,e9e25584475ebf08957886725ebc99a2b85af7a992b6c6ae352c94e8d9c79101
DRAWSTRING,f774a1159ec25324c3686431aeb9a038,1f53342aaa71be3d25e6c28dd36f949b7b504a28,2d2a67fcce58c73e96358161e48e8b09fa2b171c837d7539c22461e46c47656c
DRAWSTRING,9a6993ee1af31dc386be4583dd866bfc,67c7469aaaf352705ec66c3bb73366c77cf3577c,77b4da7f513b7bf555e34fd6450a43e869ec9aa037c0e274ace81ae3d9cda94f
Invoke-SMBExec,9e484e32505758a6d991c33652ad1b14,16a71f2ffc1bb24b2862295072831b698ae38f3a,674fc045dc198874f323ebdfb9e9ff2f591076fa6fac8d1048b5b8d9527c64cd
Invoke-WMIExec,081beadd4dc5f070c087df82df22179c,ca0cc3d624be7a2933413e8d7440374b25eae1bd,b41bd54bbf119d153e0878696cd5a944cbd4316c781dd8e390507b2ec2d949e7
GOBOT2,384fea272567d924c2a256ce9e91d949,0ae8dd21ce229884519cb8e5ed6b2753a18a7ead,d961148e97857562b9cf06a0e2d154352338d60d375f9b48f61e9f26480e443b
HOTLANE,b451fe96ab76cf676cf22a258fdb38ce,8c8ad56ec08a4b23e0593c3d578fd7e23dc45211,4b1b1fd688a5bf4e27a4e62a56b67e1c45536603c8ecdefe88a3b0ff37cec798
HOTLANE,94642e317bdbcc5d216aa730ae851a05,adca9b2d2e9e1c2cfbeb2f730894bf5ba54acad8,906b0e99850448a45ab3de4115954d5ff02b6edd4c2b0f5d59f40045f668246c
JSPRAT,ab2dbe55a54368e0ba4c9a4abe71b47b,7439a49cd10616a7c9d649120dfba7eca7f224b8,c7740484dba2eaac5f3455596df3b8f9c127a9d6f50268bc3375afbff3c6020e
JSPRAT,a4cff691eda32dc11a621d9731fcea73,75b58a5fef77886d697041cfab5c3d6beda21661,efce809b03fe30765837e99bdfa6766d4506f9ba8351ec611979ce16f841e1ac
JSPRAT,8a8597d1bfa42229224c46e38ebed07b,5fc73458f617a7fb12d3c769ea07f5ec61e12153,ba5f9281ac9a9bc7c4684dd96603e033f133c26482734b27be4b6f4b5f74f5ad
JSPRAT,34a8ac7dfc5ce7b4a1992abdb5e0fa15,12f6c27f400e85fb8f075ff7b17f475a383b4499,db3bda73338c164d523c0ab27e774f81921d5ab6518ef667fffd10edf169bfbd
LATCHKEY,0b26021f37f01f00cc6cf880bd3d7f68,4ab56883ddcb3d3e9af22aa73898d5ca7d2250a6,b23621caf5323e2207d8fbf5bee0a9bd9ce110af64b8f5579a80f2767564f917
MAILSLOT,5fe987a61b88e34102002a1f13cfee3d,28333822aab1eeebfb299c845b32a2fa17e7747d,5e59b103bccf5cad21dde116c71e4261f26c2f02ed1af35c0a17218b4423a638
MIMIKATZ,d7af79c4533e3050c47044e41c90e829,463a36c5fb8c8dffc659f9d1eb4509d8f62816e7,c1fb986e7f6fde354382d7b46460fb9af799a0abbac4c179ca9b3f56aadc7f98
NIGHTJAR,b130215dd140fa47d06f6e1d5ad8e941,28427a2778731b3b247edf6a576b8149e9784d28,fa6f93ef0bb35a9dad1a5e60105c7110da3a2f8bd37a4ae3bff7f1a1c61b2720
NIGHTJAR,86327a5429ca8c58685a310b98d1be95,e92c1a2f03f5895889313c8e8f4fea1aa6f24652,5ece301c0e0295b511f4def643bf6c01129803bac52b032bb19d1e91c679cacb
PORTHOLE,f4b56e8b6c0710f1e8a18dc4f11a4edc,2e309fa21194a069feb02ff0cd9cafe06d84f94d,84ac021af9675763af11c955f294db98aeeb08afeacd17e71fb33d8d185feed5
PORTHOLE,33c22962e43cef8627cbc63535f33fce,72906cec6bc424f8a9db5ca28ece2d2d2200dba2,61257b4ef15e20aa9407592e25a513ffde7aba2f323c2a47afbc3e588fc5fcaf
PROCDUMP,42539491f0e4fe145b9ed7d002bcb9ae,ddebbf15665986402e662947c071979329dd1a71,2f1520301536958bcf5c65516ca85a343133b443db9835a58049cd1694460424
PROCDUMP,a92669ec8852230a10256ac23bbf4489,4bed038c66e7fdbbfb0365669923a73fbc9bb8f4,16f413862efda3aba631d8a7ae2bfff6d84acd9f454a7adaa518c7a8a6f375a5
SIXPACK,863ead7a592b47d7547ab7931c935633,f7cc106b208a9c3e4d630627954489dd2b0d5bda,a3676562571f48c269027a069ecb08ee08973b7017f4965fa36a8fa34a18134e
SPINOFF,9e0563caa00582c3aa4bf6c41d9f9c46,4716aeb3076a6b0fd00ec9f5144747270407dcc1,4029788b2cb65282f4264283a359710988380bce22ed67788c8d978b28e0aea9
SWEARJAR,f50efee758de4aa18f0ce9459d5722f4,13dfe71b95d3932ca4e39b84e6ded5086abe2b60,1e675e32ebb61b6259b0df978e3ffa02695ef120f8a2a5639f2ae18e14fd1a4d
SWEARJAR,9340e6fc1d6d6b0379ab1583ccc2a0b1,b0caaf26e52168cb839f12ba499ff1602ce8191b,0463fa109106363b4c87c8909bfcc4bf3ce238566173359108b0a5ae5d749be2
SWEARJAR,6488086b07a36a2842df5b5451b3640b,dda98668eda22cf20897960fc8ffc964ae415582,2f23224937ac723f58e4036eaf1ee766b95ebcbe5b6a27633b5c0efcd314ce36
SWEARJAR,2e9ae2864d368ed1e6747ba28440ba5c,8bfd968026b4268ba7d205871e329717aec2def8,e76e0a692be03fdc5b12483b7e1bd6abd46ad88167cd6b6a88f6185ed58c8841
TINYSHELL,428b47caf74ce986bc3688262355d5b7,dadb1cc49fa8fa577bb6d09e15639ab54dd46c18,0dd4d924c9069992dd7b3e007c0f3ca149b7fb1ce0dfb74b37c7efc6e1aebb46
WMIEXEC,dc78c63a267ef5f894e99aa1e6bfe888,75c728ec83c65348e51ef1e63915a2415886bc9f,0e141b51aa20f518a79185f835491eba65998301eff03133a2969510798bc674
