Type;Indicator;Description;Attribution;TLP
url;https[:]//cs.com.sg/Backup/Bk778kXNKMiH5vH/oxnv1.ooccxx;Hardcoded URL hidden in XLS file sheet 6 pointing at a dropper. The host is a compromised server with a CMS wordpress.;Emotet;GREEN
url;https[:]//j2ccamionmagasin.fr/css/1Mp8y/oxnv2.ooccxx;Hardcoded URL hidden in XLS file sheet 6 pointing at a dropper. The host is a compromised server with a CMS wordpress.;Emotet;GREEN
url;http[:]//atici.net/old/PkZI74DD/oxnv3.ooccxx;Hardcoded URL hidden in XLS file sheet 6 pointing at a dropper. The host is a compromised server with a CMS wordpress.;Emotet;GREEN
url;http[:]//clanbaker.org/css/khhl7kT2n69n/oxnv4.ooccxx;Hardcoded URL hidden in XLS file sheet 6 pointing at a dropper. The host is a compromised server with a CMS wordpress.;Emotet;GREEN
domain;spkdeutshnewsupp[.]com ;We observed several IcedID samples dropped by Emotet communicating with this domain. The latter resolves 87.251.67[.]168;Emotet;GREEN
sha256;910731579a78d2da6452bede7dfce8e1f89c285c22d8a7d40db2eafc2fcc45af;Hijacked thread email sent by Emotet botnet with a malicious XLS attachment;Emotet;GREEN
sha256;91E19D7AEFDD6717A1F79167281E78B95AFB84195BA7525F5EFB6E0A3665AC6B;XLS maldoc downloading DLLs on remote compromised server via macros 4.0;Emotet;GREEN
sha256;199a2e0e1bb46a5dd8eb3a58aa55de157f6005c65b70245e71cecec4905cc2c0 ;Excel file with malicious macro for Emotet dropped IcedID and BumbleBee;Emotet;GREEN
sha256;e59c11ed62c813d1c19e02277e14bbeff0312440b4fdc235d3bcbfe1938743b6 ;dll downloaded from the URLs integrated in Emotet macros ;Emotet;GREEN
sha256;09931bd43b6b1d5f664d4ea3b7d3b78a2e4a2e67a958032ea92640835d7b9f8f;dll downloaded from the URLs integrated in Emotet macros ;Emotet;GREEN
sha256;ce2f3dddfce26433d18f020c8a3337d39d6d2af1eba61967db9be8359bf19fb1;dll downloaded from the URLs integrated in Emotet macros ;Emotet;GREEN
sha256;36a2e445f25b38c95129260794ec0973b44f52ec69e8b819cf799fdab76319b5;dll downloaded from the URLs integrated in Emotet macros ;Emotet;GREEN
sha1;a7e30946af32f0087bbee19dcb908fce2d9e6814;Hijacked thread email sent by Emotet botnet with a malicious XLS attachment;Emotet;GREEN
sha1;64AF6F0E006D740601A92816D4EEF1F7B6007B89;XLS maldoc downloading DLLs on remote compromised server via macros 4.0;Emotet;GREEN
sha1;a6e306f8841ff6fbd50188c738469143a6934df0;Excel file with malicious macro for Emotet dropped IcedID and BumbleBee;Emotet;GREEN
sha1; ac5ad5ff7434c1ecbc3c96fcfc530a9f98f64a5e ;dll downloaded from the URLs integrated in Emotet macros ;Emotet;GREEN
sha1;f8a58b9737cef1223e6cab7839f0921ab791317e;dll downloaded from the URLs integrated in Emotet macros ;Emotet;GREEN
sha1;91f1cabf131ca0dccd8180b6faed2fea24ffcddd;dll downloaded from the URLs integrated in Emotet macros ;Emotet;GREEN
sha1;d7412689e7f0df8f3425ffaf2a0ac5176202b9c3;dll downloaded from the URLs integrated in Emotet macros ;Emotet;GREEN
md5;154014e2aec1638d8feb1c3900752a60;Hijacked thread email sent by Emotet botnet with a malicious XLS attachment;Emotet;GREEN
md5;9DDFCFE774CBFA02FB31E36B819D7D91;XLS maldoc downloading DLLs on remote compromised server via macros 4.0;Emotet;GREEN
md5;6493581b246b731e4937fbee64a68803;Excel file with malicious macro for Emotet dropped IcedID and BumbleBee;Emotet;GREEN
md5;a856da67745c9910bb6efd1a63755f3b ;dll downloaded from the URLs integrated in Emotet macros ;Emotet;GREEN
md5;5240ba05dc7e3179ab47487be788910e;dll downloaded from the URLs integrated in Emotet macros ;Emotet;GREEN
md5;ef0229e461dd8e1475537a44e3bfe3f6;dll downloaded from the URLs integrated in Emotet macros ;Emotet;GREEN
md5;6886babbe16ed7b5a8c84d54d2f9ca3e;dll downloaded from the URLs integrated in Emotet macros ;Emotet;GREEN
ip;202.28.34.99;web server with associated IP address 202.28.34.99 used as a proxy listening on port 8080 hidding network traffic towards genuine C2 linked to botnet Epoch5;Emotet;GREEN
ip;80.211.107.116;web server with associated IP address 80.211.107.116 used as a proxy listening on port 8080 hidding network traffic towards genuine C2 linked to botnet Epoch5;Emotet;GREEN
ip;175.126.176.79;web server with associated IP address 175.126.176.79 used as a proxy listening on port 8080 hidding network traffic towards genuine C2 linked to botnet Epoch5;Emotet;GREEN
ip;218.38.121.17;web server with associated IP address 218.38.121.17 used as a proxy listening on port 443 hidding network traffic towards genuine C2 linked to botnet Epoch5;Emotet;GREEN
ip;139.196.72.155;web server with associated IP address 139.196.72.155 used as a proxy listening on port 8080 hidding network traffic towards genuine C2 linked to botnet Epoch5;Emotet;GREEN
ip;103.71.99.57;web server with associated IP address 103.71.99.57 used as a proxy listening on port 8080 hidding network traffic towards genuine C2 linked to botnet Epoch5;Emotet;GREEN
ip;87.106.97.83;web server with associated IP address 87.106.97.83 used as a proxy listening on port 7080 hidding network traffic towards genuine C2 linked to botnet Epoch5;Emotet;GREEN
ip;178.62.112.199;web server with associated IP address 178.62.112.199 used as a proxy listening on port 8080 hidding network traffic towards genuine C2 linked to botnet Epoch5;Emotet;GREEN
ip;64.227.55.231;web server with associated IP address 64.227.55.231 used as a proxy listening on port 8080 hidding network traffic towards genuine C2 linked to botnet Epoch5;Emotet;GREEN
ip;46.101.98.60;web server with associated IP address 46.101.98.60 used as a proxy listening on port 8080 hidding network traffic towards genuine C2 linked to botnet Epoch5;Emotet;GREEN
ip;54.37.228.122;web server with associated IP address 54.37.228.122 used as a proxy listening on port 443 hidding network traffic towards genuine C2 linked to botnet Epoch5;Emotet;GREEN
ip;128.199.217.206;web server with associated IP address 128.199.217.206 used as a proxy listening on port 443 hidding network traffic towards genuine C2 linked to botnet Epoch5;Emotet;GREEN
ip;190.145.8.4;web server with associated IP address 190.145.8.4 used as a proxy listening on port 443 hidding network traffic towards genuine C2 linked to botnet Epoch5;Emotet;GREEN
ip;209.239.112.82;web server with associated IP address 209.239.112.82 used as a proxy listening on port 8080 hidding network traffic towards genuine C2 linked to botnet Epoch5;Emotet;GREEN
ip;85.214.67.203;web server with associated IP address 85.214.67.203 used as a proxy listening on port 8080 hidding network traffic towards genuine C2 linked to botnet Epoch5;Emotet;GREEN
ip;198.199.70.22;web server with associated IP address 198.199.70.22 used as a proxy listening on port 8080 hidding network traffic towards genuine C2 linked to botnet Epoch5;Emotet;GREEN
ip;128.199.242.164;web server with associated IP address 128.199.242.164 used as a proxy listening on port 8080 hidding network traffic towards genuine C2 linked to botnet Epoch5;Emotet;GREEN
ip;178.238.225.252;web server with associated IP address 178.238.225.252 used as a proxy listening on port 8080 hidding network traffic towards genuine C2 linked to botnet Epoch5;Emotet;GREEN
ip;103.85.95.4;web server with associated IP address 103.85.95.4 used as a proxy listening on port 8080 hidding network traffic towards genuine C2 linked to botnet Epoch5;Emotet;GREEN
ip;103.126.216.86;web server with associated IP address 103.126.216.86 used as a proxy listening on port 443 hidding network traffic towards genuine C2 linked to botnet Epoch5;Emotet;GREEN
ip;104.244.79.94;web server with associated IP address 104.244.79.94 used as a proxy listening on port 443 hidding network traffic towards genuine C2 linked to botnet Epoch5;Emotet;GREEN
ip;36.67.23.59;web server with associated IP address 36.67.23.59 used as a proxy listening on port 443 hidding network traffic towards genuine C2 linked to botnet Epoch5;Emotet;GREEN
ip;37.44.244.177;web server with associated IP address 37.44.244.177 used as a proxy listening on port 8080 hidding network traffic towards genuine C2 linked to botnet Epoch5;Emotet;GREEN
ip;160.16.143.191;web server with associated IP address 160.16.143.191 used as a proxy listening on port 8080 hidding network traffic towards genuine C2 linked to botnet Epoch5;Emotet;GREEN
ip;85.25.120.45;web server with associated IP address 85.25.120.45 used as a proxy listening on port 8080 hidding network traffic towards genuine C2 linked to botnet Epoch5;Emotet;GREEN
ip;103.56.149.105;web server with associated IP address 103.56.149.105 used as a proxy listening on port 8080 hidding network traffic towards genuine C2 linked to botnet Epoch5;Emotet;GREEN
ip;210.57.209.142;web server with associated IP address 210.57.209.142 used as a proxy listening on port 8080 hidding network traffic towards genuine C2 linked to botnet Epoch5;Emotet;GREEN
ip;195.77.239.39;web server with associated IP address 195.77.239.39 used as a proxy listening on port 8080 hidding network traffic towards genuine C2 linked to botnet Epoch5;Emotet;GREEN
ip;62.171.178.147;web server with associated IP address 62.171.178.147 used as a proxy listening on port 8080 hidding network traffic towards genuine C2 linked to botnet Epoch5;Emotet;GREEN
ip;118.98.72.86;web server with associated IP address 118.98.72.86 used as a proxy listening on port 443 hidding network traffic towards genuine C2 linked to botnet Epoch5;Emotet;GREEN
ip;103.224.241.74;web server with associated IP address 103.224.241.74 used as a proxy listening on port 8080 hidding network traffic towards genuine C2 linked to botnet Epoch5;Emotet;GREEN
ip;185.148.169.10;web server with associated IP address 185.148.169.10 used as a proxy listening on port 8080 hidding network traffic towards genuine C2 linked to botnet Epoch5;Emotet;GREEN
ip;103.41.204.169;web server with associated IP address 103.41.204.169 used as a proxy listening on port 8080 hidding network traffic towards genuine C2 linked to botnet Epoch5;Emotet;GREEN
