CODE,REGION,OPERATOR,LAC,CELL,NAME,X_LONGITUDE,Y_LATITUDE,TYPE,ADDRESS
401,13,1,2255,32958,3G_SHM_communism-32958,69.5398331,42.3308296,3G,"г. Шымкент, ул. Мадиходжаева, д. 55, Склад зерна"
401,13,1,2255,32959,3G_SHM_communism-32959,69.5398331,42.3308296,3G,"г. Шымкент, ул. Мадиходжаева, д. 55, Склад зерна"
401,13,1,2255,32950,3G_SHM_communism-32950,69.5398331,42.3308296,3G,"г. Шымкент, ул. Мадиходжаева, д. 55, Склад зерна"
401,13,1,2255,32957,3G_SHM_communism-32957,69.5398331,42.3308296,3G,"г. Шымкент, ул. Мадиходжаева, д. 55, Склад зерна"
401,13,1,2255,32955,3G_SHM_communism-32955,69.5398331,42.3308296,3G,"г. Шымкент, ул. Мадиходжаева, д. 55, Склад зерна"
401,13,1,2255,32956,3G_SHM_communism-32956,69.5398331,42.3308296,3G,"г. Шымкент, ул. Мадиходжаева, д. 55, Склад зерна"
401,13,1,2255,59718,3G_SHM_darhan-59718,69.5274429,42.3536682,3G,"г. Шымкент, Темирлановское шоссе б/н. мойка Дархан"
401,13,1,2255,59719,3G_SHM_darhan-59719,69.5274429,42.3536682,3G,"г. Шымкент, Темирлановское шоссе б/н. мойка Дархан"
401,13,1,2255,59710,3G_SHM_darhan-59710,69.5274429,42.3536682,3G,"г. Шымкент, Темирлановское шоссе б/н. мойка Дархан"
401,13,1,2255,59715,3G_SHM_darhan-59715,69.5274429,42.3536682,3G,"г. Шымкент, Темирлановское шоссе б/н. мойка Дархан"
401,13,1,2255,59716,3G_SHM_darhan-59716,69.5274429,42.3536682,3G,"г. Шымкент, Темирлановское шоссе б/н. мойка Дархан"
401,13,1,2255,59717,3G_SHM_darhan-59717,69.5274429,42.3536682,3G,"г. Шымкент, Темирлановское шоссе б/н. мойка Дархан"
401,13,1,2258,32858,3G_SHM_zheskeshu-32858,70.1732178,42.5554695,3G,"ЮКО, Тюлькубаский р-н, с. Жаскешуул, Л. Демеушов, маг. "
401,13,1,2258,32859,3G_SHM_zheskeshu-32859,70.1732178,42.5554695,3G,"ЮКО, Тюлькубаский р-н, с. Жаскешуул, Л. Демеушов, маг. "
401,13,1,2258,32850,3G_SHM_zheskeshu-32850,70.1732178,42.5554695,3G,"ЮКО, Тюлькубаский р-н, с. Жаскешуул, Л. Демеушов, маг. "
401,13,1,2258,32857,3G_SHM_zheskeshu-32857,70.1732178,42.5554695,3G,"ЮКО, Тюлькубаский р-н, с. Жаскешуул, Л. Демеушов, маг. "
401,13,1,2258,32855,3G_SHM_zheskeshu-32855,70.1732178,42.5554695,3G,"ЮКО, Тюлькубаский р-н, с. Жаскешуул, Л. Демеушов, маг. "
401,13,1,2258,32856,3G_SHM_zheskeshu-32856,70.1732178,42.5554695,3G,"ЮКО, Тюлькубаский р-н, с. Жаскешуул, Л. Демеушов, маг. "
401,13,1,2255,29878,3G_SHM_pushkina-29878,69.5886917,42.3199692,3G,"г. Шымкент, пр. Таукехана д. 2"
401,13,1,2255,29879,3G_SHM_pushkina-29879,69.5886917,42.3199692,3G,"г. Шымкент, пр. Таукехана д. 2"
401,13,1,2255,29870,3G_SHM_pushkina-29870,69.5886917,42.3199692,3G,"г. Шымкент, пр. Таукехана д. 2"
401,13,1,2255,29875,3G_SHM_pushkina-29875,69.5886917,42.3199692,3G,"г. Шымкент, пр. Таукехана д. 2"
401,13,1,2255,29876,3G_SHM_pushkina-29876,69.5886917,42.3199692,3G,"г. Шымкент, пр. Таукехана д. 2"
401,13,1,2255,29877,3G_SHM_pushkina-29877,69.5886917,42.3199692,3G,"г. Шымкент, пр. Таукехана д. 2"
401,13,1,2255,32728,3G_SHM_kerimshe-32728,69.5777512,42.3373604,3G,"г. Шымкент, мкр. 4, ул. Керимше, д. 15"
401,13,1,2255,32729,3G_SHM_kerimshe-32729,69.5777512,42.3373604,3G,"г. Шымкент, мкр. 4, ул. Керимше, д. 15"
401,13,1,2255,32720,3G_SHM_kerimshe-32720,69.5777512,42.3373604,3G,"г. Шымкент, мкр. 4, ул. Керимше, д. 15"
401,13,1,2255,32727,3G_SHM_kerimshe-32727,69.5777512,42.3373604,3G,"г. Шымкент, мкр. 4, ул. Керимше, д. 15"
401,13,1,2255,32725,3G_SHM_kerimshe-32725,69.5777512,42.3373604,3G,"г. Шымкент, мкр. 4, ул. Керимше, д. 15"
401,13,1,2255,32726,3G_SHM_kerimshe-32726,69.5777512,42.3373604,3G,"г. Шымкент, мкр. 4, ул. Керимше, д. 15"
401,13,1,2257,5218,3G_SRG_myrzakent-5218,68.5566635,40.663723,3G,"ЮКО, Сайрамский р-н, п. Мырзакент, ул. Кожанова, д. 58"
401,13,1,2257,5219,3G_SRG_myrzakent-5219,68.5566635,40.663723,3G,"ЮКО, Сайрамский р-н, п. Мырзакент, ул. Кожанова, д. 58"
401,13,1,2257,5210,3G_SRG_myrzakent-5210,68.5566635,40.663723,3G,"ЮКО, Сайрамский р-н, п. Мырзакент, ул. Кожанова, д. 58"
401,13,1,2257,5215,3G_SRG_myrzakent-5215,68.5566635,40.663723,3G,"ЮКО, Сайрамский р-н, п. Мырзакент, ул. Кожанова, д. 58"
401,13,1,2257,5216,3G_SRG_myrzakent-5216,68.5566635,40.663723,3G,"ЮКО, Сайрамский р-н, п. Мырзакент, ул. Кожанова, д. 58"
401,13,1,2257,5217,3G_SRG_myrzakent-5217,68.5566635,40.663723,3G,"ЮКО, Сайрамский р-н, п. Мырзакент, ул. Кожанова, д. 58"
401,13,1,2257,50768,3G_SRG_express-50768,68.5206909,40.84161,3G,"ЮКО, Мактааральский р-н, п. Атакент, водонапорная башня ТОО Express"
401,13,1,2257,50769,3G_SRG_express-50769,68.5206909,40.84161,3G,"ЮКО, Мактааральский р-н, п. Атакент, водонапорная башня ТОО Express"
401,13,1,2257,50760,3G_SRG_express-50760,68.5206909,40.84161,3G,"ЮКО, Мактааральский р-н, п. Атакент, водонапорная башня ТОО Express"
401,13,1,2257,50765,3G_SRG_express-50765,68.5206909,40.84161,3G,"ЮКО, Мактааральский р-н, п. Атакент, водонапорная башня ТОО Express"
401,13,1,2257,50766,3G_SRG_express-50766,68.5206909,40.84161,3G,"ЮКО, Мактааральский р-н, п. Атакент, водонапорная башня ТОО Express"
401,13,1,2257,50767,3G_SRG_express-50767,68.5206909,40.84161,3G,"ЮКО, Мактааральский р-н, п. Атакент, водонапорная башня ТОО Express"
401,13,1,2255,29978,3G_SHM_lamas-29978,69.5955811,42.3649178,3G,"г. Шымкент, мкр. Самал д. 2"
401,13,1,2255,29979,3G_SHM_lamas-29979,69.5955811,42.3649178,3G,"г. Шымкент, мкр. Самал д. 2"
401,13,1,2255,29970,3G_SHM_lamas-29970,69.5955811,42.3649178,3G,"г. Шымкент, мкр. Самал д. 2"
401,13,1,2255,29977,3G_SHM_lamas-29977,69.5955811,42.3649178,3G,"г. Шымкент, мкр. Самал д. 2"
401,11,1,6240,17659,3G_KZL_kvartal-17659,65.5418854,44.8084984,3G,"г. Кызылорда, мкр. Самал, ул. 18, д. 9"
401,11,1,6240,17650,3G_KZL_kvartal-17650,65.5418854,44.8084984,3G,"г. Кызылорда, мкр. Самал, ул. 18, д. 9"
401,11,1,6240,17655,3G_KZL_kvartal-17655,65.5418854,44.8084984,3G,"г. Кызылорда, мкр. Самал, ул. 18, д. 9"
401,11,1,6240,17656,3G_KZL_kvartal-17656,65.5418854,44.8084984,3G,"г. Кызылорда, мкр. Самал, ул. 18, д. 9"
401,11,1,6240,17657,3G_KZL_kvartal-17657,65.5418854,44.8084984,3G,"г. Кызылорда, мкр. Самал, ул. 18, д. 9"
401,11,1,6240,17728,3G_KZL_shanhai-17728,62.1645584,45.8451691,3G,"Кызылординская обл., Казалинский р-н, п. Айтеке би, ул. Р. Багланова, д. 25"
401,11,1,6240,17729,3G_KZL_shanhai-17729,62.1645584,45.8451691,3G,"Кызылординская обл., Казалинский р-н, п. Айтеке би, ул. Р. Багланова, д. 25"
401,11,1,6240,17720,3G_KZL_shanhai-17720,62.1645584,45.8451691,3G,"Кызылординская обл., Казалинский р-н, п. Айтеке би, ул. Р. Багланова, д. 25"
401,11,1,6240,17727,3G_KZL_shanhai-17727,62.1645584,45.8451691,3G,"Кызылординская обл., Казалинский р-н, п. Айтеке би, ул. Р. Багланова, д. 25"
401,11,1,6240,17725,3G_KZL_shanhai-17725,62.1645584,45.8451691,3G,"Кызылординская обл., Казалинский р-н, п. Айтеке би, ул. Р. Багланова, д. 25"
401,11,1,6240,17726,3G_KZL_shanhai-17726,62.1645584,45.8451691,3G,"Кызылординская обл., Казалинский р-н, п. Айтеке би, ул. Р. Багланова, д. 25"
401,11,1,6362,63128,3G_BAI_algida-63128,63.3179207,45.6268616,3G,"Кызылординская обл., г. Байконур, ул. Неделина, угол ул. Горького"
401,11,1,6362,63129,3G_BAI_algida-63129,63.3179207,45.6268616,3G,"Кызылординская обл., г. Байконур, ул. Неделина, угол ул. Горького"
